Title,Type,Author,Genre,Status,Notes,Pages,Year,Score,Goodreads
And Then There Where None,Novel,Agatha Christie,Fiction: Crime,FINISHED,,264,1939,3.50,4.28
The Grave of the Fireflies,Short Story,Akiyuki Nosaka,Fiction: Historical,FINISHED,,18,1967,4.70,4.06
You Have Not Yet Been Defeated: Selected Works 2011-2021,Non-Fiction,Alaa Abd El-Fattah,Non-Fiction: Politics,NOT STARTED,,448,2021,,4.56
The Courtyard,Graphic Novel,Alan Moore,Fiction: Horror: Cosmic,FINISHED,,56,2003,3.90,3.60
Neonomicon,Graphic Novel,Alan Moore,Fiction: Horror: Cosmic,FINISHED,,176,2011,3.75,3.46
Providence,Graphic Novel,Alan Moore,Fiction: Horror: Cosmic,FINISHED,,480,2021,4.90,4.19
From Hell,Graphic Novel,Alan Moore,Fiction: Historical,FINISHED,,560,1999,3.90,4.19
Batman: The Killing Joke,Graphic Novel,"Alan Moore, Brian Bolland",Fiction: Science Fiction,FINISHED,,50,1988,4.00,4.37
The World Without Us,Non-Fiction,Alan Weisman,Non-Fiction: Science,NOT STARTED,,324,2007,,3.81
House of Suns,Novel,Alastair Reynolds,Fiction: Science Fiction,NOT STARTED,,512,2008,,4.24
Revelation Space,Novel,Alastair Reynolds,Fiction: Science Fiction,NOT STARTED,"Revelation Space, #1.",585,2000,,3.99
A History of the Arab Peoples,Non-Fiction,Albert Hourani,Non-Fiction: History,NOT STARTED,,551,1991,,3.87
The Reapers are the Angels,Novel,Alden Bell,Fiction: Horror,NOT STARTED,"Reapers, #1.",225,2010,,3.89
Brave New World,Novel,Aldous Huxley,Fiction: Science Fiction: Dystopian,FINISHED,,268,1932,4.20,3.99
Moonchild,Novel,Aleister Crowley,Fiction: Horror,NOT STARTED,,336,1917,,3.48
The Incal,Graphic Novel,Alejandro Jodorowsky,Fiction: Science Fiction,FINISHED,,307,1981,4.70,4.12
The World and All That It Holds,Novel,Aleksandar Hemon,Fiction: Historical,NOT STARTED,,352,2023,,3.84
Proctor Valley Road,Graphic Novel,"Alex Child, Grant Morrison, Naomi Franquiz",Fiction: Horror,NOT STARTED,,144,2021,,3.23
Roots: The Saga of an American Family,Novel,Alex Haley,Fiction: Historical,NOT STARTED,,888,1976,,4.44
The Count of Monte Cristo,Novel,Alexandre Dumas,Fiction: Historical,NOT STARTED,,1276,1844,,4.30
Hobson's Choice,Short Story,Alfred Bester,Fiction: Science Fiction,FINISHED,,9,1952,3.90,3.84
The Demolished Man,Novel,Alfred Bester,Fiction: Science Fiction,FINISHED,,250,1953,4.00,3.97
The Stars My Destination,Novel,Alfred Bester,Fiction: Science Fiction,NOT STARTED,,258,1956,,4.07
Endurance: Shackleton's Incredible Voyage,Non-Fiction,Alfred Lansing,Non-Fiction: History,FINISHED,,282,1959,4.40,4.44
The Willows,Novel,Algernon Blackwood,Fiction: Horror,FINISHED,,105,1907,3.75,4.07
Ancient Sorceries and Other Weird Stories,Anthology,Algernon Blackwood,Fiction: Horror,NOT STARTED,,400,2001,,4.10
In Memoriam,Novel,Alice Winn,Fiction: Historical,NOT STARTED,,382,2023,,4.55
Tell Me I'm Worthless,Novel,Alison Rumfitt,Fiction: Horror,NOT STARTED,,264,2021,,3.53
The Strange Nighttime Journey of Father Stephen Marlowe,Novel,Ambrose Stolliker,Fiction: Horror: Cosmic,NOT STARTED,,227,2022,,4.22
Sea of Poppies,Novel,Amitav Gosh,Fiction: Historical,NOT STARTED,,513,2008,,3.97
A Gentleman in Moscow,Novel,Amor Towles,Fiction: Historical,NOT STARTED,,462,2016,,4.33
The Mute,Short Story,André Carneiro,Fiction: Science Fiction,FINISHED,,7,1966,2.50,2.71
Ship Fever: Stories,Anthology,Andrea Barrett,Fiction: Historical,NOT STARTED,,256,1996,,4.04
El viajero del siglo,Novel,Andrés Neuman,Fiction: Historical,NOT STARTED,,544,2009,,3.83
The Time of Contempt,Novel,Andrzej Sapkowski,Fiction: Fantasy: High,FINISHED,"The Witcher, #2.",331,1995,4.00,4.16
Baptism of Fire,Novel,Andrzej Sapkowski,Fiction: Fantasy: High,FINISHED,"The Witcher, #3.",349,1996,4.00,4.26
Blood of Elves,Novel,Andrzej Sapkowski,Fiction: Fantasy: High,FINISHED,"The Witcher, #1.",398,1994,4.00,4.10
The Last Wish,Anthology,Andrzej Sapkowski,Fiction: Fantasy: High,FINISHED,"The Witcher, #0.5.",400,1993,4.50,4.14
Sword of Destiny,Anthology,Andrzej Sapkowski,Fiction: Fantasy: High,FINISHED,"The Witcher, #0.7.",405,1992,4.20,4.27
The Tower of the Swallow,Novel,Andrzej Sapkowski,Fiction: Fantasy: High,FINISHED,"The Witcher, #4.",448,1997,4.50,4.22
The Tower of Fools,Novel,Andrzej Sapkowski,Fiction: Fantasy: Historical,NOT STARTED,"Hussite Trilogy, #1.",560,2002,,4.03
It Rides a Pale Horse,Novel,Andy Marino,Fiction: Horror,NOT STARTED,,368,2022,,3.42
The Martian,Novel,Andy Weir,Fiction: Science Fiction,NOT STARTED,,384,2011,,4.41
Project Hail Mary,Novel,Andy Weir,Fiction: Science Fiction,NOT STARTED,,476,2021,,4.51
Kalpa Imperial,Novel,Angélica Gorodischer,Fiction: Science Fiction,FINISHED,,246,1983,3.75,3.94
The Shuddering,Novel,Ania Ahlborn,Fiction: Horror,NOT STARTED,,283,2013,,3.68
Ancillary Justice,Novel,Ann Leckie,Fiction: Science Fiction: Space Opera,NOT STARTED,"Imperial Radch, #1.",386,2013,,3.99
The Stranger Beside Me,Non-Fiction,Ann Rule,Non-Fiction: Crime,FINISHED,,618,1980,4.20,4.14
The Restaurant at the End of the Universe: Laba Porridge,Short Story,Anna Wul,Fiction: Science Fiction,FINISHED,,14,2014,3.00,3.85
Dragonflight,Novel,Anne McCaffrey,Fiction: Fantasy: High,NOT STARTED,"Dragonriders of Pern, #1.",299,1968,,4.09
Interview with the Vampire,Novel,Anne Rice,Fiction: Horror,NOT STARTED,"The Vampire Chronicles, #1.",346,1976,,4.02
Close Range: Wyoming Stories,Anthology,Anne Rivers Siddons,Fiction: Historical,NOT STARTED,,289,1999,,3.99
The House Next Door,Novel,Anne Rivers Siddons,Fiction: Horror,NOT STARTED,,352,1978,,3.88
Nuclear War: A Scenario,Non-Fiction,Annie Jacobsen,Non-Fiction: Politics,NOT STARTED,,400,2024,,4.44
Phenomena: The Secret History of the U.S. Government's Investigations into Extrasensory Perception and Psychokinesis,Non-Fiction,Annie Jacobsen,Non-Fiction: History,NOT STARTED,,544,2017,,3.91
Operation Paperclip: The Secret Intelligence Program that Brought Nazi Scientists to America,Non-Fiction,Annie Jacobsen,Non-Fiction: History,NOT STARTED,,575,2014,,4.12
A Clockwork Orange,Novel,Anthony Burgess,Fiction: Science Fiction: Dystopian,NOT STARTED,,240,1962,,4.00
All the Light We Cannot See,Novel,Anthony Doerr,Fiction: Historical,NOT FINISHED,,531,2014,2.00,4.32
The Little Prince,Novel,Antoine de Saint-Exupéry,Fiction: Fantasy,FINISHED,,96,1943,4.00,4.32
A Memory Called Empire,Novel,Arkady Martine,Fiction: Science Fiction,NOT STARTED,"Teixcalaan, #1.",462,2019,,4.13
Roadside Picnic,Novel,"Arkady Strugatsky, Boris Strugatsky",Fiction: Science Fiction: Apocalyptic,FINISHED,,145,1972,4.70,4.15
Maus,Graphic Novel,Art Spiegelman,Fiction: Historical,FINISHED,,296,1980,4.83,4.58
Childhood's End,Novel,Arthur C. Clarke,Fiction: Science Fiction,FINISHED,,224,1953,4.70,4.12
A Fall of Moondust,Novel,Arthur C. Clarke,Fiction: Science Fiction,NOT STARTED,,224,1961,,3.89
Rendezvous with Rama,Novel,Arthur C. Clarke,Fiction: Science Fiction,FINISHED,"Rama, #1.",243,1973,4.20,4.12
The City and the Stars,Novel,Arthur C. Clarke,Fiction: Science Fiction,NOT STARTED,,255,1956,,4.08
2001: A Space Odyssey,Novel,Arthur C. Clarke,Fiction: Science Fiction,FINISHED,,297,1968,4.70,4.17
The Fountains of Paradise,Novel,Arthur C. Clarke,Fiction: Science Fiction,NOT STARTED,,332,1979,,3.95
Rama II,Novel,"Arthur C. Clarke, Gentry Lee",Fiction: Science Fiction,NOT STARTED,"Rama, #2.",512,1989,,3.70
A Study in Scarlet,Novel,Arthur Conan Doyle,Fiction: Crime,NOT STARTED,"Sherlock Holmes, #1.",123,1887,,4.14
The Sign of Four,Novel,Arthur Conan Doyle,Fiction: Crime,FINISHED,"Sherlock Holmes, #2.",129,1890,4.00,3.90
The Valley of Fear,Novel,Arthur Conan Doyle,Fiction: Crime,NOT STARTED,"Sherlock Holmes, #7.",195,1915,,3.96
The Hound of the Baskervilles,Novel,Arthur Conan Doyle,Fiction: Crime,FINISHED,"Sherlock Holmes, #5.",256,1902,4.00,4.13
The Memoirs of Sherlock Holmes,Anthology,Arthur Conan Doyle,Fiction: Crime,NOT STARTED,"Sherlock Holmes, #4.",378,1893,,4.30
The Adventures of Sherlock Holmes,Anthology,Arthur Conan Doyle,Fiction: Crime,NOT STARTED,"Sherlock Holmes, #3.",389,1882,,4.30
The Return of Sherlock Holmes,Anthology,Arthur Conan Doyle,Fiction: Crime,NOT STARTED,"Sherlock Holmes, #6.",455,1905,,4.28
The Great God Pan and Other Horror Stories,Anthology,Arthur Machen,Fiction: Horror: Cosmic,FINISHED,,389,1894,3.75,3.90
El club Dumas,Novel,Arturo Pérez-Reverte,Fiction: Literary,NOT STARTED,,431,1993,,3.81
