Genre,TotalPages,AverageScore
Non-Fiction: Biography,1008,4.598
Fiction: Science Fiction: Alternative History,1879,4.572
Fiction: Science Fiction: Hard,375,4.500
Non-Fiction: Biology,1363,4.252
Fiction: Contemporary,466,4.250
Non-Fiction: Politics,1227,4.227
Non-Fiction: Writing,1427,4.183
Fiction: Drama,999,4.177
Non-Fiction: Travel,772,4.168
Fiction: Fantasy: Low,11672,4.124
Fiction: Science Fiction: Space Opera,3510,4.077
Fiction: Science Fiction: Cyberpunk,2119,4.035
Fiction: Science Fiction: Dystopian,1963,4.024
Fiction: Science Fiction: Climate,623,4.000
Fiction: Magic Realism,1223,3.963
Non-Fiction: Science,1918,3.930
Fiction: Horror: Folk,418,3.900
Fiction: Horror,30540,3.853
Fiction: Science Fiction,25890,3.845
Fiction: Science Fiction: Apocalyptic,10043,3.825
Non-Fiction: History,2507,3.797
Non-Fiction: Crime,1352,3.776
Fiction: Mystery,1067,3.754
Fiction: Fantasy: Grimdark,288,3.750
Fiction: Literary,3720,3.748
Non-Fiction: Games,3115,3.718
Fiction: Fantasy,3752,3.658
Fiction: Fantasy: Epic,9231,3.652
Fiction: Historical,15426,3.543
Fiction: Science Fiction: Grimdark,606,3.525
Fiction: Crime,2468,3.522
Fiction: Horror: Gothic,229,3.472
Fiction: Fantasy: High,14359,3.447
Fiction: Science Fiction: Horror,764,3.289
Fiction: Horror: Cosmic,15033,3.231
Fiction: Thriller,6279,3.070
Non-Fiction: Philosophy,713,2.931
Non-Fiction: Music,833,2.899
Fiction: Adventure,322,2.000
Fiction: Fantasy: Historical,718,2.000
Non-Fiction: Religion,628,1.000
