AuthorName,AuthorID,WorkName,WorkType,Series,NumberInSeries,PublishedOn,Genre,PageCount,ReadScore,GoodreadsScore,WorkID,StartDate,FinishDate,ReadStatus
Ursula K. Le Guin,16,A Wizard of Earthsea,Novel,Earthsea Cycle,1.0,1968,Fiction: Fantasy: High,183,3.5,4.01,1350,2026-02-14,2026-02-20,FINISHED
Ursula K. Le Guin,16,The Word for World Is Forest,Novel,,,1972,Fiction: Science Fiction,160,4.0,4.04,1348,2026-02-11,2026-02-14,FINISHED
Jason Stanley,779,How Fascism Works: The Politics of Us and Them,Non-Fiction,,,2018,Non-Fiction: Politics,218,3.75,4.25,1455,2026-01-22,2026-01-25,FINISHED
Dan Brown,94,The Secret of Secrets,Novel,Robert Langdon,6.0,2025,Fiction: Thriller,677,2.0,3.94,1456,2026-01-07,2026-01-22,FINISHED
Franz Kafka,780,The Metamorphosis,Novella,,,1915,Fiction: Literary,72,3.0,3.91,1457,2026-01-04,2026-01-07,FINISHED
Julian Huxley,781,Charles Darwin and His World,Non-Fiction,,,1965,Non-Fiction: Science,144,3.75,3.9,1458,2025-12-24,2025-12-26,FINISHED
Henry Bernard Davis Kettlewell,782,Charles Darwin and His World,Non-Fiction,,,1965,Non-Fiction: Science,144,3.75,3.9,1458,2025-12-24,2025-12-26,FINISHED
Elizabeth Strout,783,Olive Kitteridge,Novel,,,2008,Fiction: Literary,270,3.75,3.86,1459,2025-12-18,2025-12-24,FINISHED
Aldous Huxley,494,The Devils of Loundun,Non-Fiction,,,1952,Non-Fiction: History,400,3.75,3.86,1460,2025-12-05,2025-12-18,FINISHED
William Golding,151,Lord of the Flies,Novel,,,1954,Fiction: Literary,182,3.5,3.69,1397,2025-11-28,2025-12-02,FINISHED
Tara Westover,784,Educated,Non-Fiction,,,2018,Non-Fiction: Biography,352,4.5,4.46,1461,2025-11-22,2025-11-27,FINISHED
Michael Crichton,292,Timeline,Novel,,,1999,Fiction: Science Fiction,489,3.75,3.87,1464,2025-11-10,2025-11-27,FINISHED
Colum McCann,785,This Side of Brightness,Novel,,,1998,Fiction: Literary,304,4.0,3.86,1463,2025-11-17,2025-11-22,FINISHED
August Derleth,777,The Seal of R'lyeh,Novelette,,,1957,Fiction: Horror: Cosmic,31,3.5,3.73,1452,2025-09-28,2025-09-29,FINISHED
August Derleth,777,The House in the Valley,Novelette,,,1953,Fiction: Horror: Cosmic,33,3.5,3.73,1451,2025-09-28,2025-09-28,FINISHED
August Derleth,777,The Sandwin Compact,Novelette,,,1940,Fiction: Horror: Cosmic,28,3.0,3.73,1450,2025-09-28,2025-09-28,FINISHED
August Derleth,777,Something in Wood,Short Story,,,1948,Fiction: Horror: Cosmic,16,3.5,3.73,1449,2025-09-27,2025-09-27,FINISHED
August Derleth,777,The Whippoorwills in the Hills,Novelette,,,1948,Fiction: Horror: Cosmic,28,3.5,3.73,1448,2025-09-24,2025-09-26,FINISHED
August Derleth,777,The Return of Hastur,Novelette,,,1939,Fiction: Horror: Cosmic,33,3.5,3.73,1447,2025-09-23,2025-09-24,FINISHED
Clark Ashton Smith,10,The Garden of Adompha,Short Story,,,1938,Fiction: Horror,11,3.5,4.23,287,2025-09-23,2025-09-23,FINISHED
