AuthorName,WorkName,WorkType,Series,NumberInSeries,PublishedOn,Genre,PageCount,ReadScore,GoodreadsScore,TimesRead
William Gibson,The Gernsback Continuum,Short Story,,,1981,Fiction: Science Fiction: Cyberpunk,11,5.0,3.95,1
Walter M. Miller,A Canticle for Leibowitz,Novel,St. Leibowitz,1.0,1959,Fiction: Science Fiction: Apocalyptic,334,5.0,3.98,1
Stephen King,The Stand,Novel,,,1978,Fiction: Science Fiction: Apocalyptic,1152,4.99,4.35,1
Harlan Ellison,"I Have No Mouth, and I Must Scream",Short Story,,,1967,Fiction: Science Fiction: Horror,17,4.99,3.69,1
William Gibson,Neuromancer,Novel,Sprawl,1.0,1984,Fiction: Science Fiction: Cyberpunk,268,4.98,3.9,1
Stephen King,It,Novel,,,1986,Fiction: Horror,1168,4.97,4.24,1
Ursula K. Le Guin,The Ones Who Walk Away from Omelas,Short Story,,,1973,Fiction: Science Fiction,6,4.97,4.37,1
Stephen King,11/22/63,Novel,,,2011,Fiction: Science Fiction: Alternative History,849,4.96,4.33,1
Dan Simmons,Carrion Comfort,Novel,,,1989,Fiction: Horror,884,4.95,3.91,1
Stephen King,The Dark Tower,Novel,The Dark Tower,7.0,2004,Fiction: Fantasy: Low,1050,4.94,4.28,1
Michael Chabon,The Amazing Adventures of Kavalier & Clay,Novel,,,2000,Fiction: Historical,639,4.93,4.18,1
James A. Michener,The Source,Novel,,,1965,Fiction: Historical,1341,4.925,4.3,1
F. Paul Wilson,The Barrens,Novella,,,1989,Fiction: Horror: Cosmic,51,4.92,4.12,1
J. R. R. Tolkien,The Fellowship of the Ring,Novel,The Lord of the Rings,1.0,1954,Fiction: Fantasy: Epic,432,4.92,4.39,1
H. P. Lovecraft,The Call of Cthulhu,Novelette,,,1928,Fiction: Horror: Cosmic,43,4.91,3.96,1
Octavia E. Butler,Parable of the Sower,Novel,Earthseed,1.0,1993,Fiction: Science Fiction,345,4.91,4.21,1
William Peter Blatty,The Exorcist,Novel,,,1971,Fiction: Horror,385,4.9,4.2,1
John Shirley,The Belonging Kind,Short Story,,,1981,Fiction: Science Fiction: Cyberpunk,16,4.9,4.06,2
Alan Moore,Providence,Graphic Novel,,,2021,Fiction: Horror: Cosmic,480,4.9,4.19,1
Pat Frank,"Alas, Babylon",Novel,,,1959,Fiction: Science Fiction: Apocalyptic,323,4.9,4.08,1
Matt Ruff,Lovecraft Country,Novel,Lovecraft Country,1.0,2016,Fiction: Horror: Cosmic,329,4.9,4.02,1
Ray Bradbury,The Martian Chronicles,Novel,,,1950,Fiction: Science Fiction,182,4.9,4.56,1
Frank Herbert,Dune,Novel,Dune,1.0,1965,Fiction: Science Fiction,658,4.9,4.27,1
Daniel Keyes,Flowers for Algernon,Novel,,,1966,Fiction: Science Fiction,311,4.9,4.21,1
